Date	Breakfast	Lunch	Dinner	Others
2013-7-1	49	80	129	0
2013-7-2	40	65	-1	No record
2013-7-3	40	50	-1	牛奶42
2013-7-4	25	-1	105	水 20
2013-7-5	55	50	165	芒果冰60 
2013-7-6	-1	-1	-1	在台中
2013-7-7	-1	-1	-1	在台中
2013-7-8	-1	-1	-1	在台中
2013-7-9	-1	-1	-1	日本GOGO
2013-7-10	-1	-1	-1	日本GOGO
2013-7-11	-1	-1	-1	日本GOGO
2013-7-12	-1	-1	-1	日本GOGO
2013-7-13	-1	-1	-1	日本GOGO
2013-7-14	-1	-1	-1	日本GOGO
2013-7-15	-1	-1	-1	日本GOGO
2013-7-16	-1	-1	-1	在台中
2013-7-17	-1	-1	-1	在台中
2013-7-18	30	60	80	170
2013-7-19	30	70	90	Nike慢跑鞋 1750  牛奶42
2013-7-20	30	60	70	No record
2013-7-21	40	85	60	No record
2013-7-22	40	75	125	綠豆湯30  水果65
2013-7-23	30	65	70	No record
2013-7-24	30	85	145	No record
2013-7-25	35	60	85	電視盒1100  
2013-7-26	20	65	110	No record
2013-7-27	30	190	65	水果 50
2013-7-28	30	70	50	No record
2013-7-29	30	60	130	No record
2013-7-30	-1	-1	-1	No record
2013-7-31	-1	-1	-1	No record
